,0.2
2016-09-01,1.2157952683838391
2016-09-02,1.2266394114294583
2016-09-06,1.2363292021122045
2016-09-07,1.2391022769580637
2016-09-08,1.2362914589384992
2016-09-09,1.1789829950475184
2016-09-12,1.19544224171586
2016-09-13,1.1572192923885667
2016-09-14,1.1494068414694878
2016-09-15,1.165670557321573
2016-09-16,1.180006769153932
2016-09-19,1.1851612449006261
2016-09-20,1.182136909985409
2016-09-21,1.1963597855638162
2016-09-22,1.2075233294415502
2016-09-23,1.2035836122166186
2016-09-26,1.1927648831180424
2016-09-27,1.2037581078472408
2016-09-28,1.2084103130949595
2016-09-29,1.1972984941239713
2016-09-30,1.1995540014912378
2016-10-03,1.2041164889770999
2016-10-04,1.2064508020413527
2016-10-05,1.209599776402309
2016-10-06,1.2119989825703799
2016-10-07,1.2063335449223047
2016-10-10,1.216566716918383
2016-10-11,1.197499572462422
2016-10-12,1.1899324345637654
2016-10-13,1.1797278072535708
2016-10-14,1.1852713153052763
2016-10-17,1.186697205609403
2016-10-18,1.198905285788138
2016-10-19,1.2159614821983933
2016-10-20,1.2205000631583873
2016-10-21,1.2235948335245574
2016-10-24,1.233807824109353
2016-10-25,1.2288477926556471
2016-10-26,1.2223907927599196
2016-10-27,1.2153498217936225
2016-10-28,1.2070332755791715
2016-10-31,1.198320854943412
2016-11-01,1.1899726109612228
2016-11-02,1.1806264025160855
2016-11-03,1.1646935225900925
2016-11-04,1.1699942769280498
2016-11-07,1.2099526843160195
2016-11-08,1.2107077249926597
2016-11-09,1.2273810082163457
2016-11-10,1.2199548374103308
2016-11-11,1.2263232802809882
2016-11-14,1.2337181945339388
2016-11-15,1.2554520901889408
2016-11-16,1.2257777680572022
2016-11-17,1.234434946515391
2016-11-18,1.2352565338342032
2016-11-21,1.2435053253790058
2016-11-22,1.244364396415537
2016-11-23,1.244364396415537
2016-11-25,1.2460896850067544
2016-11-28,1.2443499437362389
2016-11-29,1.2469378465654997
2016-11-30,1.2425702884339218
2016-12-01,1.2340155876529653
2016-12-02,1.233194279441549
2016-12-05,1.2585534984549407
2016-12-06,1.2659978075031029
2016-12-07,1.2621395284707124
2016-12-08,1.2602451351822008
2016-12-09,1.26775497583878
2016-12-12,1.2599683809775821
2016-12-13,1.2627839527786495
2016-12-14,1.2599302037328222
2016-12-15,1.2674381677029247
2016-12-16,1.2732766544639362
2016-12-19,1.285283978513891
2016-12-20,1.2969442867725736
2016-12-21,1.3064682836948776
2016-12-22,1.3018106427547889
2016-12-23,1.3018106427547889
2016-12-27,1.3072823512357197
2016-12-28,1.295121585177713
2016-12-29,1.2915793722951756
2016-12-30,1.2863520696079775
2017-01-03,1.309315048701806
2017-01-04,1.3207210600153605
2017-01-05,1.3237283944973688
2017-01-06,1.3267772890720269
2017-01-09,1.3257467824397378
2017-01-10,1.3267725052888208
2017-01-11,1.333986025705925
